id,product_name,brand,price,reviews_count,avg_rate
195,L'Oreal Paris Hyaluron Expert Repluming Moisturizing Day Cream - 50ml,L'Oreal Paris,EGP 165.00,3087 verified ratings,4.4/5
196,Activ Printed Zipped One Compartment Backpack - Red,Activ,EGP 189.00,2 verified ratings,4.5/5
197,Karimed SNOW SHINE Free Sulfate Face Wash Gel For Oily Skin 150ML,Karimed,EGP 49.00,18 verified ratings,4.6/5
198,Maybelline New York The Falsies Instant Lash Lift Lengthening Volumizing Mascara - Black,Maybelline New York,EGP 161.00,1 verified rating,5/5
199,Cottonil Bundle Of Three Men Undershirts Derby,Cottonil,EGP 159.99,1328 verified ratings,4.2/5
200,Sunsilk Goodbye Hair Fall Oil Blooms - 250 Ml,Sunsilk,EGP 25.20,113 verified ratings,4.3/5
201,"Gick Dish Washing Liquid, Lemon 675 Ml",Gick,EGP 10.00,10 verified ratings,4/5
202,"Parodontax Parodontax Fluoride Daily Toothpaste for Bleeding Gums, 100ml",Parodontax,EGP 35.00,5 verified ratings,5/5
203,Crystal Sunflower Oil 5 Liter,Crystal,EGP 232.25,84 verified ratings,4.5/5
204,Set Of 6 Pairs Invisible Socks,(1869 verified ratings),EGP 39.99 - EGP 49.00,1869 verified ratings,4/5
205,Leather Ankle Boot - Black,(2278 verified ratings),EGP 169.00,2278 verified ratings,3.8/5
206,Nescafe 3 in 1 Hazelnut Pack - 24 Pcs x 18 gm,Nescafe,EGP 57.00,27 verified ratings,4.5/5
207,ABA.EG Bundle OF (10) High Quality Socks From ABA.EG,ABA.EG,EGP 70.00 - EGP 75.00,57 verified ratings,3.6/5
208,Bath Brush With Long Handle-Portable Design 1.pcs,(251 verified ratings),EGP 39.99,251 verified ratings,4/5
209,Nokia 106 - 1.8-inch Dual SIM Mobile Phone - Dark Grey,Nokia,EGP 418.00,2 verified ratings,4.5/5
210,"Dolive Shower Gel, Body Wash, 2000 Ml, Royal Fragrance",Dolive,EGP 50.00,40 verified ratings,4.3/5
211,Nescafe 3In1 Rich Coffee - 21g - 12 Pcs,Nescafe,EGP 39.95,47 verified ratings,4.6/5
212,Sunsilk Shine and Strength Hair Shampoo – 600ml,Sunsilk,EGP 41.50,6 verified ratings,4.7/5
213,Mothercare Cream Tights - 2 Pack,Mothercare,EGP 95.00,82 verified ratings,4.8/5
214,Maybelline New York Ancill Fit Me Concealer - 20 Sand,Maybelline New York,EGP 141.00,,
215,Mr. Food Golden Basmati Rice - 1 Kg,Mr. Food,EGP 42.00,300 verified ratings,4.2/5
216,Break Plastic Lunch Box - 2 L,Break,EGP 89.00,40 verified ratings,4/5
217,Italiano Small Rings Pasta - 400g,Italiano,EGP 9.95,371 verified ratings,4.6/5
218,Lipton Pure Non-Bitter Green Tea - 25 Bags,Lipton,EGP 14.75,196 verified ratings,4.5/5
219,Dettol Original Soap - 115g,Dettol,EGP 8.25,142 verified ratings,4.5/5
220,Bundle Of (6) Basic Socks - High Quality,(302 verified ratings),EGP 37.00,302 verified ratings,3.3/5
221,American Eagle Slim Fit Oxford Button-Up Shirt,American Eagle,EGP 400.00,142 verified ratings,4.6/5
222,El Maleka Risoni Pasta - 400g,El Maleka,EGP 7.60,179 verified ratings,4.5/5
223,Elegant Men Solid Wallet & Card Holders - Havan - One Size,(1157 verified ratings),EGP 110.00,1157 verified ratings,4.2/5
224,Skyline 32-22A - 32-inch HD LED TV,Skyline,"EGP 2,025.00",2 verified ratings,5/5
225,American Eagle Thermal,American Eagle,EGP 225.00,31 verified ratings,4.7/5
226,Bundle Of (4) Classic Socks - For Men,(1400 verified ratings),EGP 36.00,1400 verified ratings,3.8/5
227,Flat Fashion Sneakers - White & Pink - From Fast Deals,(871 verified ratings),EGP 179.00,871 verified ratings,4.3/5
